event_id,repository,pr_number,comment_url,exclusion_scope,completed_review_preserved,reason,retrieved_on
RLE001,llxprt-code,1979,https://github.com/vybestack/llxprt-code/pull/1979#issuecomment-4663789403,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE002,llxprt-code,1982,https://github.com/vybestack/llxprt-code/pull/1982#issuecomment-4672678485,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE003,llxprt-luther,32,https://github.com/vybestack/llxprt-luther/pull/32#issuecomment-4673143768,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE004,llxprt-luther,33,https://github.com/vybestack/llxprt-luther/pull/33#issuecomment-4674850382,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE005,llxprt-luther,34,https://github.com/vybestack/llxprt-luther/pull/34#issuecomment-4675527435,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE006,llxprt-luther,35,https://github.com/vybestack/llxprt-luther/pull/35#issuecomment-4675737766,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE007,llxprt-luther,36,https://github.com/vybestack/llxprt-luther/pull/36#issuecomment-4675946167,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE008,llxprt-code,1994,https://github.com/vybestack/llxprt-code/pull/1994#issuecomment-4685227014,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE009,llxprt-code,1996,https://github.com/vybestack/llxprt-code/pull/1996#issuecomment-4685371765,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE010,llxprt-code,1998,https://github.com/vybestack/llxprt-code/pull/1998#issuecomment-4685667170,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE011,llxprt-luther,39,https://github.com/vybestack/llxprt-luther/pull/39#issuecomment-4686156513,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE012,llxprt-code,1999,https://github.com/vybestack/llxprt-code/pull/1999#issuecomment-4686430550,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE013,llxprt-luther,40,https://github.com/vybestack/llxprt-luther/pull/40#issuecomment-4686486824,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE014,llxprt-luther,41,https://github.com/vybestack/llxprt-luther/pull/41#issuecomment-4686645961,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE015,llxprt-luther,42,https://github.com/vybestack/llxprt-luther/pull/42#issuecomment-4686771601,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE016,llxprt-luther,43,https://github.com/vybestack/llxprt-luther/pull/43#issuecomment-4686936138,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE017,llxprt-luther,44,https://github.com/vybestack/llxprt-luther/pull/44#issuecomment-4687118288,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE018,llxprt-luther,45,https://github.com/vybestack/llxprt-luther/pull/45#issuecomment-4687503875,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE019,llxprt-luther,46,https://github.com/vybestack/llxprt-luther/pull/46#issuecomment-4688217932,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE020,llxprt-code,2004,https://github.com/vybestack/llxprt-code/pull/2004#issuecomment-4688623745,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE021,llxprt-jefe,61,https://github.com/vybestack/llxprt-jefe/pull/61#issuecomment-4694060956,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE022,llxprt-code,2007,https://github.com/vybestack/llxprt-code/pull/2007#issuecomment-4695472566,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE023,llxprt-code,2043,https://github.com/vybestack/llxprt-code/pull/2043#issuecomment-4708770980,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE024,llxprt-code,2046,https://github.com/vybestack/llxprt-code/pull/2046#issuecomment-4709832502,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE025,llxprt-luther,54,https://github.com/vybestack/llxprt-luther/pull/54#issuecomment-4710189942,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE026,llxprt-luther,55,https://github.com/vybestack/llxprt-luther/pull/55#issuecomment-4710608731,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE027,llxprt-luther,56,https://github.com/vybestack/llxprt-luther/pull/56#issuecomment-4711006037,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE028,llxprt-luther,58,https://github.com/vybestack/llxprt-luther/pull/58#issuecomment-4712501464,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE029,llxprt-luther,59,https://github.com/vybestack/llxprt-luther/pull/59#issuecomment-4712916973,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE030,llxprt-code,2101,https://github.com/vybestack/llxprt-code/pull/2101#issuecomment-4745752284,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE031,llxprt-jefe,77,https://github.com/vybestack/llxprt-jefe/pull/77#issuecomment-4746527217,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE032,llxprt-jefe,84,https://github.com/vybestack/llxprt-jefe/pull/84#issuecomment-4783338767,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
RLE033,llxprt-code,2141,https://github.com/vybestack/llxprt-code/pull/2141#issuecomment-4783414483,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE034,llxprt-code,2142,https://github.com/vybestack/llxprt-code/pull/2142#issuecomment-4784207209,blocked_iteration_only,yes,explicit Review limit reached message,2026-07-14
RLE035,llxprt-jefe,85,https://github.com/vybestack/llxprt-jefe/pull/85#issuecomment-4784525452,blocked_iteration_only,no,explicit Review limit reached message,2026-07-14
