event_id,repository,pr_number,comment_url,created_at,updated_at,explicit_signal,blocked_iteration,completed_review_same_pr,retrieved_on
RLE001,llxprt-code,1979,https://github.com/vybestack/llxprt-code/pull/1979#issuecomment-4663789403,2026-06-09T20:36:11Z,2026-06-09T23:33:36Z,could_not_start,yes,yes,2026-07-14
RLE002,llxprt-code,1982,https://github.com/vybestack/llxprt-code/pull/1982#issuecomment-4672678485,2026-06-10T17:25:57Z,2026-06-10T20:53:38Z,could_not_start,yes,yes,2026-07-14
RLE003,llxprt-luther,32,https://github.com/vybestack/llxprt-luther/pull/32#issuecomment-4673143768,2026-06-10T18:21:09Z,2026-06-10T18:21:09Z,could_not_start,yes,no,2026-07-14
RLE004,llxprt-luther,33,https://github.com/vybestack/llxprt-luther/pull/33#issuecomment-4674850382,2026-06-10T21:43:47Z,2026-06-10T22:11:47Z,could_not_start,yes,yes,2026-07-14
RLE005,llxprt-luther,34,https://github.com/vybestack/llxprt-luther/pull/34#issuecomment-4675527435,2026-06-10T23:07:21Z,2026-06-10T23:07:21Z,could_not_start,yes,no,2026-07-14
RLE006,llxprt-luther,35,https://github.com/vybestack/llxprt-luther/pull/35#issuecomment-4675737766,2026-06-10T23:39:46Z,2026-06-10T23:39:46Z,could_not_start,yes,no,2026-07-14
RLE007,llxprt-luther,36,https://github.com/vybestack/llxprt-luther/pull/36#issuecomment-4675946167,2026-06-11T00:18:34Z,2026-06-11T00:18:34Z,could_not_start,yes,no,2026-07-14
RLE008,llxprt-code,1994,https://github.com/vybestack/llxprt-code/pull/1994#issuecomment-4685227014,2026-06-11T21:24:57Z,2026-06-11T22:33:10Z,could_not_start,yes,yes,2026-07-14
RLE009,llxprt-code,1996,https://github.com/vybestack/llxprt-code/pull/1996#issuecomment-4685371765,2026-06-11T21:43:58Z,2026-06-11T21:55:00Z,could_not_start,yes,yes,2026-07-14
RLE010,llxprt-code,1998,https://github.com/vybestack/llxprt-code/pull/1998#issuecomment-4685667170,2026-06-11T22:33:15Z,2026-06-12T18:14:47Z,could_not_start,yes,yes,2026-07-14
RLE011,llxprt-luther,39,https://github.com/vybestack/llxprt-luther/pull/39#issuecomment-4686156513,2026-06-12T00:06:00Z,2026-06-12T00:31:55Z,could_not_start,yes,yes,2026-07-14
RLE012,llxprt-code,1999,https://github.com/vybestack/llxprt-code/pull/1999#issuecomment-4686430550,2026-06-12T01:07:35Z,2026-06-12T04:14:55Z,could_not_start,yes,yes,2026-07-14
RLE013,llxprt-luther,40,https://github.com/vybestack/llxprt-luther/pull/40#issuecomment-4686486824,2026-06-12T01:20:40Z,2026-06-12T01:20:40Z,could_not_start,yes,no,2026-07-14
RLE014,llxprt-luther,41,https://github.com/vybestack/llxprt-luther/pull/41#issuecomment-4686645961,2026-06-12T01:57:16Z,2026-06-12T01:57:16Z,could_not_start,yes,no,2026-07-14
RLE015,llxprt-luther,42,https://github.com/vybestack/llxprt-luther/pull/42#issuecomment-4686771601,2026-06-12T02:24:23Z,2026-06-12T02:24:23Z,could_not_start,yes,no,2026-07-14
