week_start,repository,pr_creations,coderabbit_touched_prs,commits_on_touched_prs,estimated_push_updates,commits_per_touched_pr,completed_review_signals,blocked_comments
2025-07-21,llxprt-code,1,0,0,0,,0,0
2025-08-04,llxprt-code,1,0,0,0,,0,0
2025-08-11,llxprt-code,1,0,0,0,,0,0
2025-08-18,llxprt-code,1,0,0,0,,0,0
2025-09-15,llxprt-code,1,0,0,0,,0,0
2025-10-13,llxprt-code,17,0,0,0,,0,0
2025-10-20,llxprt-code,22,0,0,0,,0,0
2025-10-27,llxprt-code,34,0,0,0,,0,0
2025-11-03,llxprt-code,34,0,0,0,,0,0
2025-11-10,llxprt-code,37,14,36,22,2.57,0,0
2025-11-17,llxprt-code,31,30,765,735,25.5,0,0
2025-11-24,llxprt-code,17,17,172,155,10.12,0,0
2025-12-01,llxprt-code,13,13,57,44,4.38,0,0
2025-12-08,llxprt-code,43,43,183,140,4.26,0,0
2025-12-15,llxprt-code,43,43,266,223,6.19,0,0
2025-12-22,llxprt-code,5,5,25,20,5.0,0,0
2025-12-29,llxprt-code,18,18,47,29,2.61,0,0
2026-01-05,llxprt-code,33,32,255,223,7.97,0,0
2026-01-12,llxprt-code,33,33,344,311,10.42,0,0
2026-01-19,llxprt-code,17,17,44,27,2.59,0,0
2026-01-26,llxprt-code,29,29,156,127,5.38,0,0
2026-02-02,llxprt-code,16,16,111,95,6.94,0,0
2026-02-09,llxprt-code,47,47,433,386,9.21,0,0
2026-02-16,llxprt-code,51,49,199,150,4.06,0,0
2026-02-23,llxprt-code,17,17,267,250,15.71,0,0
2026-03-02,llxprt-code,27,26,72,46,2.77,0,0
2026-03-09,llxprt-code,6,6,122,116,20.33,0,0
2026-03-16,llxprt-code,8,8,126,118,15.75,0,0
2026-03-23,llxprt-code,41,41,278,237,6.78,0,0
2026-03-30,llxprt-code,22,22,122,100,5.55,0,0
2026-04-06,llxprt-code,8,8,20,12,2.5,0,0
2026-04-13,llxprt-code,3,3,52,49,17.33,0,0
2026-04-20,llxprt-code,1,1,458,457,458.0,0,0
2026-04-27,llxprt-code,3,3,11,8,3.67,0,0
2026-05-04,llxprt-code,1,1,2,1,2.0,1,0
2026-05-11,llxprt-code,1,1,2,1,2.0,0,0
2026-06-01,llxprt-code,18,18,42,24,2.33,20,0
2026-06-08,llxprt-code,34,34,157,123,4.62,37,8
2026-06-15,llxprt-code,32,32,118,86,3.69,32,3
2026-06-22,llxprt-code,58,58,316,258,5.45,85,29
2026-06-29,llxprt-code,54,54,309,255,5.72,60,31
2026-07-06,llxprt-code,82,82,883,801,10.77,43,35
2026-07-13,llxprt-code,13,13,297,284,22.85,6,8
2026-03-23,llxprt-jefe,3,3,18,15,6.0,10,0
2026-03-30,llxprt-jefe,7,7,42,35,6.0,19,0
2026-04-06,llxprt-jefe,4,4,18,14,4.5,11,0
2026-06-08,llxprt-jefe,1,1,2,1,2.0,1,1
2026-06-15,llxprt-jefe,7,6,14,8,2.33,8,1
2026-06-22,llxprt-jefe,12,12,49,37,4.08,13,6
2026-06-29,llxprt-jefe,16,15,30,15,2.0,8,12
2026-07-06,llxprt-jefe,50,50,296,246,5.92,40,45
2026-07-13,llxprt-jefe,25,25,176,151,7.04,17,24
2026-06-01,llxprt-luther,2,2,3,1,1.5,1,0
2026-06-08,llxprt-luther,18,18,24,6,1.33,6,13
2026-06-15,llxprt-luther,6,6,10,4,1.67,5,5
2026-06-22,llxprt-luther,8,8,18,10,2.25,7,5
2026-06-29,llxprt-luther,23,23,75,52,3.26,16,20
2026-07-06,llxprt-luther,10,10,78,68,7.8,12,10
2026-07-13,llxprt-luther,0,0,0,0,,1,0
