repository,pr_number,comment_id,comment_url,created_at,updated_at,exact_heading,message_variant,plan_stated,next_review_wait_stated,mutable_comment,retrieved_on,pr_open_to_limit_minutes,minutes_to_next_success_signal
llxprt-code,1979,4663789403,https://github.com/vybestack/llxprt-code/pull/1979#issuecomment-4663789403,2026-06-09T20:36:11Z,2026-06-09T23:33:36Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,24.9
llxprt-code,1982,4672678485,https://github.com/vybestack/llxprt-code/pull/1982#issuecomment-4672678485,2026-06-10T17:25:57Z,2026-06-10T20:53:38Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.4,14.7
llxprt-luther,32,4673143768,https://github.com/vybestack/llxprt-luther/pull/32#issuecomment-4673143768,2026-06-10T18:21:09Z,2026-06-10T18:21:09Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,207.1
llxprt-luther,33,4674850382,https://github.com/vybestack/llxprt-luther/pull/33#issuecomment-4674850382,2026-06-10T21:43:47Z,2026-06-10T22:11:47Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,4.4
llxprt-luther,34,4675527435,https://github.com/vybestack/llxprt-luther/pull/34#issuecomment-4675527435,2026-06-10T23:07:21Z,2026-06-10T23:07:21Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1263.7
llxprt-luther,35,4675737766,https://github.com/vybestack/llxprt-luther/pull/35#issuecomment-4675737766,2026-06-10T23:39:46Z,2026-06-10T23:39:46Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1231.3
llxprt-luther,36,4675946167,https://github.com/vybestack/llxprt-luther/pull/36#issuecomment-4675946167,2026-06-11T00:18:34Z,2026-06-11T00:18:34Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,1192.5
llxprt-code,1994,4685227014,https://github.com/vybestack/llxprt-code/pull/1994#issuecomment-4685227014,2026-06-11T21:24:57Z,2026-06-11T22:33:10Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,4.4
llxprt-code,1996,4685371765,https://github.com/vybestack/llxprt-code/pull/1996#issuecomment-4685371765,2026-06-11T21:43:58Z,2026-06-11T21:55:00Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,7.1
llxprt-code,1998,4685667170,https://github.com/vybestack/llxprt-code/pull/1998#issuecomment-4685667170,2026-06-11T22:33:15Z,2026-06-12T18:14:47Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,1.0,173.7
llxprt-luther,39,4686156513,https://github.com/vybestack/llxprt-luther/pull/39#issuecomment-4686156513,2026-06-12T00:06:00Z,2026-06-12T00:31:55Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,8.8
llxprt-code,1999,4686430550,https://github.com/vybestack/llxprt-code/pull/1999#issuecomment-4686430550,2026-06-12T01:07:35Z,2026-06-12T04:14:55Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.3,19.3
llxprt-luther,40,4686486824,https://github.com/vybestack/llxprt-luther/pull/40#issuecomment-4686486824,2026-06-12T01:20:40Z,2026-06-12T01:20:40Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,143.3
llxprt-luther,41,4686645961,https://github.com/vybestack/llxprt-luther/pull/41#issuecomment-4686645961,2026-06-12T01:57:16Z,2026-06-12T01:57:16Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,106.8
llxprt-luther,42,4686771601,https://github.com/vybestack/llxprt-luther/pull/42#issuecomment-4686771601,2026-06-12T02:24:23Z,2026-06-12T02:24:23Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,79.6
llxprt-luther,43,4686936138,https://github.com/vybestack/llxprt-luther/pull/43#issuecomment-4686936138,2026-06-12T03:03:37Z,2026-06-12T03:03:37Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,2.5,40.4
llxprt-luther,44,4687118288,https://github.com/vybestack/llxprt-luther/pull/44#issuecomment-4687118288,2026-06-12T03:38:03Z,2026-06-12T04:05:02Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,6.0
llxprt-luther,45,4687503875,https://github.com/vybestack/llxprt-luther/pull/45#issuecomment-4687503875,2026-06-12T04:35:01Z,2026-06-12T04:35:01Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,5149.8
llxprt-luther,46,4688217932,https://github.com/vybestack/llxprt-luther/pull/46#issuecomment-4688217932,2026-06-12T06:52:33Z,2026-06-12T06:52:33Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,5012.2
llxprt-code,2004,4688623745,https://github.com/vybestack/llxprt-code/pull/2004#issuecomment-4688623745,2026-06-12T07:30:43Z,2026-06-12T08:53:20Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,6.5
llxprt-jefe,61,4694060956,https://github.com/vybestack/llxprt-jefe/pull/61#issuecomment-4694060956,2026-06-12T18:20:04Z,2026-06-12T18:30:53Z,Review limit reached,adaptive_fair_usage,Pro,,yes,2026-07-14,0.2,10.8
llxprt-code,2007,4695472566,https://github.com/vybestack/llxprt-code/pull/2007#issuecomment-4695472566,2026-06-12T21:07:23Z,2026-06-12T21:07:23Z,Review limit reached,adaptive_fair_usage,Pro,,no,2026-07-14,0.1,47.0
llxprt-code,2043,4708770980,https://github.com/vybestack/llxprt-code/pull/2043#issuecomment-4708770980,2026-06-15T14:07:50Z,2026-06-15T19:42:59Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,0.3,109.8
llxprt-code,2046,4709832502,https://github.com/vybestack/llxprt-code/pull/2046#issuecomment-4709832502,2026-06-15T16:02:52Z,2026-06-15T18:56:14Z,Review limit reached,adaptive_fair_usage,Pro Plus,,yes,2026-07-14,10.3,631.9
llxprt-luther,54,4710189942,https://github.com/vybestack/llxprt-luther/pull/54#issuecomment-4710189942,2026-06-15T16:45:07Z,2026-06-15T16:45:07Z,Review limit reached,adaptive_fair_usage,Pro Plus,,no,2026-07-14,0.1,99.7
