repository,pr_number,reviewed_sha,first_finding_at,last_finding_at,root_findings,signal,example_url
llxprt-jefe,10,2568d5f3a34392d2946c1195b4e2467410dc01e8,2026-03-27T16:21:34Z,2026-03-27T16:21:34Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/10#discussion_r3001937531
llxprt-jefe,10,6615627c6542a68868edf53b00a50e561acfb6b7,2026-03-27T16:38:19Z,2026-03-27T16:38:19Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/10#discussion_r3002018684
llxprt-jefe,10,db1cb9a8a39e35abfab530014fd6fa7acef7278f,2026-03-27T19:37:45Z,2026-03-27T19:37:45Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/10#discussion_r3002847013
llxprt-jefe,10,752c0c334e41645a96aa3d2d13d917b67b5382e7,2026-03-27T20:59:01Z,2026-03-27T20:59:01Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/10#discussion_r3003209899
llxprt-jefe,14,c059f4f1a80efdbc5447d40a4f602a35b3a0e556,2026-03-29T01:20:09Z,2026-03-29T01:20:09Z,5,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005564327
llxprt-jefe,14,74c59438e416fe33d63dc0c21a30919f1894f121,2026-03-29T01:31:59Z,2026-03-29T01:31:59Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005572424
llxprt-jefe,14,40beafe0a016476299a533c7517bb6f435cd74bd,2026-03-29T01:58:43Z,2026-03-29T01:58:43Z,5,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005593474
llxprt-jefe,14,57c34d2b40ede8db2a433bae13b0a95fbdb8c7a7,2026-03-29T03:25:48Z,2026-03-29T03:25:49Z,6,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005652940
llxprt-jefe,14,5fe26696e15e193898b07e0b6624ba13b165a527,2026-03-29T04:08:49Z,2026-03-29T04:08:50Z,7,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005681706
llxprt-jefe,14,12d816acf5675bddbd1588f73a237a9fe09a6bb3,2026-03-29T05:12:21Z,2026-03-29T05:12:21Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/14#discussion_r3005723513
llxprt-jefe,30,e0b0aec0f109cb461e985b4e99a25521c4007d7e,2026-03-30T05:15:24Z,2026-03-30T05:15:24Z,2,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007573548
llxprt-jefe,30,d641155e4d98072e73bac800db67ca63a4a91d8d,2026-03-30T05:21:25Z,2026-03-30T05:21:26Z,4,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007600006
llxprt-jefe,30,e63e075957a3db56df02d3180b6f4bfbf186317e,2026-03-30T05:41:30Z,2026-03-30T05:41:31Z,3,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007658480
llxprt-jefe,30,0fbe88fda3024609ab5ddb313cd6fd3a684c4561,2026-03-30T05:52:09Z,2026-03-30T05:52:09Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007690422
llxprt-jefe,30,f092efdf510d24d2a9de5497f44970fcd4b7d19c,2026-03-30T06:31:26Z,2026-03-30T06:31:26Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007816411
llxprt-jefe,30,796fa52d324f7d82fe6f89bbd74f9d4a6e1c7fbe,2026-03-30T07:13:14Z,2026-03-30T07:13:14Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3007971751
llxprt-jefe,30,06f2fb4413ce96a379e7c7ffbd4fdd05ab95cfc7,2026-03-30T07:22:31Z,2026-03-30T07:22:31Z,2,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3008009356
llxprt-jefe,30,1869c5dbb405d23f735f4e86b556b5fcb8b39e87,2026-03-30T07:29:12Z,2026-03-30T07:29:12Z,1,root_inline_group,https://github.com/vybestack/llxprt-jefe/pull/30#discussion_r3008037499
