repository,pr_number,classification,evidence_type,event_at,commit_sha,finding_url,evidence_url,basis
llxprt-code,1944,high_confidence,commit_message_review_reference,2026-06-05T17:22:34Z,d4b1b41282af036d7d86be1b4b78385f7ff9a9f2,https://github.com/vybestack/llxprt-code/pull/1944#discussion_r3364246401,https://github.com/vybestack/llxprt-code/commit/d4b1b41282af036d7d86be1b4b78385f7ff9a9f2,0.0 hours after latest retained CodeRabbit finding
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T20:58:05Z,f9020b809,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365174673,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365351768,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T22:04:29Z,4a66e5e60,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365400432,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365631105,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T22:34:23Z,67c65c017,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365688524,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365737215,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T23:15:49Z,9fbb71640,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365749329,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365867190,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T23:38:13Z,c24d719eb,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365896319,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365925302,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,high_confidence,explicit_fixed_reply_with_commit,2026-06-06T00:15:06Z,26b973abf,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3365953962,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3366006215,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1947,medium_confidence,commit_after_finding_within_24h,2026-06-06T01:50:54Z,9ad5dc28152d397d559bd7d155a298d8d708ac57,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3366266115,https://github.com/vybestack/llxprt-code/commit/9ad5dc28152d397d559bd7d155a298d8d708ac57,0.2 hours after latest retained CodeRabbit finding
llxprt-code,1947,medium_confidence,commit_after_finding_within_24h,2026-06-06T19:43:10Z,051e1633d5a588d93dc0c99562738523b45119ac,https://github.com/vybestack/llxprt-code/pull/1947#discussion_r3366266115,https://github.com/vybestack/llxprt-code/commit/051e1633d5a588d93dc0c99562738523b45119ac,18.1 hours after latest retained CodeRabbit finding
llxprt-code,1948,medium_confidence,commit_after_finding_within_24h,2026-06-05T22:10:10Z,b3835afb902b1139890d5595326e9e720658cec8,https://github.com/vybestack/llxprt-code/pull/1948#discussion_r3365545843,https://github.com/vybestack/llxprt-code/commit/b3835afb902b1139890d5595326e9e720658cec8,0.4 hours after latest retained CodeRabbit finding
llxprt-code,1948,high_confidence,explicit_fixed_reply_with_commit,2026-06-05T22:18:26Z,b3835af,https://github.com/vybestack/llxprt-code/pull/1948#discussion_r3365545843,https://github.com/vybestack/llxprt-code/pull/1948#discussion_r3365678540,LLM-authored reply uses fix/address language and cites a commit
llxprt-code,1950,medium_confidence,commit_after_finding_within_24h,2026-06-05T22:31:32Z,21cd179726811f7481004e037f38047028d34591,https://github.com/vybestack/llxprt-code/pull/1950#discussion_r3365690059,https://github.com/vybestack/llxprt-code/commit/21cd179726811f7481004e037f38047028d34591,0.2 hours after latest retained CodeRabbit finding
llxprt-code,1952,high_confidence,commit_message_review_reference,2026-06-06T19:51:46Z,80cadfcc94c58aeb7f88038799db874b8de2b09b,https://github.com/vybestack/llxprt-code/pull/1952#discussion_r3366563157,https://github.com/vybestack/llxprt-code/commit/80cadfcc94c58aeb7f88038799db874b8de2b09b,16.1 hours after latest retained CodeRabbit finding
llxprt-code,1953,medium_confidence,commit_after_finding_within_24h,2026-06-06T07:44:40Z,7f8b264a811772a1571c695d546ec2b4f9f502c0,https://github.com/vybestack/llxprt-code/pull/1953#discussion_r3366897024,https://github.com/vybestack/llxprt-code/commit/7f8b264a811772a1571c695d546ec2b4f9f502c0,0.4 hours after latest retained CodeRabbit finding
