event_id,timestamp_local,repository_or_worktree,workflow,provider,account_tier,model,provider_attribution,outcome,failure_class,files_reviewed,comments,subtask_errors,retry_or_transition,source_path,source_sha256,corroborating_session_path,notes
R001,2026-07-10T04:57:05-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,explicit log/path marker,success,none,20,5,0,yes,$TMPDIR/ocr_review_after_fixes.log,ff191e990e80b25eed2029837994643d775a68e90937e753e7e5b79e46405a11,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/bc80c7d3-e84f-4493-b00e-377e4f8e563d.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R002,2026-07-10T05:14:16-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,explicit log/path marker,success,none,20,5,0,yes,$TMPDIR/ocr_review_after_fixes2.log,2775e531d9fd7e4ed19108335edc6f294e4039d11f6165f0a2f58cdb27cb5f2a,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/5c30ded8-f77c-469a-b7ac-8e7f677b3adf.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R003,2026-07-10T05:30:03-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,20,4,0,yes,$TMPDIR/ocr_review_after_fixes3.log,3c51fb683348d8b246ec9ebcc4c998d743d2f8de55f3ccc0810470c7cdd0b980,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/91640bf9-b769-4b6b-bab5-d633c0079562.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R004,2026-07-10T05:49:38-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes4.log,b08cabefa4446f7796bce4054c3744f79948e84a2c03335be41fcd426326e694,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/fff06467-a23b-49a5-a4d9-d07861039344.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R005,2026-07-10T06:03:49-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,3,0,yes,$TMPDIR/ocr_review_after_fixes5.log,d5d89bd5d0546ffc6a889d56cbae8e7d28eda7d0b0566a3042bd932aa196b52d,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/0d5c65f2-c6a8-49bb-804b-616fc65fdf2f.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R006,2026-07-10T06:18:01-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes6.log,776f7c85e5112f782ccf19776a24df296b0c46d4154efebd38e1be6191a9f05b,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/316f9ce6-686b-4dc6-9eb3-47979e537189.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R007,2026-07-10T06:32:11-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,1,0,yes,$TMPDIR/ocr_review_after_fixes7.log,514171b1c3411315e628b6322be37f0c5a7463e27fb8ad9a49d9009bb236cbf1,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/42aad5fb-8a44-4b4d-b11a-9985235a052c.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R008,2026-07-10T06:41:29-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,1,0,yes,$TMPDIR/ocr_review_after_fixes8.log,883541c3fe1efa99fd00feb52631ef936c3772629867e6a0742d88156492ff05,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/a7380b76-69c6-4ae3-9104-cf79533ce398.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R009,2026-07-10T06:52:57-0300,vybestack/llxprt-code,local,Z.ai,older top-tier annual (user-supplied),GLM-5.2,explicit log/path marker,success,none,21,3,0,yes,$TMPDIR/ocr_review_after_fixes9.log,18b10d1660264ba870501f726d8e4cda4024bfc22288e409c64f44980d9a12dd,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/26dc3e7b-7972-4963-b044-cac9079d8bbb.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R010,2026-07-10T07:05:25-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes10.log,71923f858ce112c4bc2dcd35bc75ca29cfcdaa6e1cd8d5a567d6f2bd2fe2b971,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/2d3f07c5-e99c-48b0-b088-4fbd5b584fc0.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R011,2026-07-10T07:15:47-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes11.log,fe3dd43b72f26069ac24accb23d23064e9c0c1be4f8ffc1a72bc491cc9175842,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/e0c318a8-e2d6-436b-a948-e85802eaf5b4.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R012,2026-07-10T07:25:15-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,1,0,yes,$TMPDIR/ocr_review_after_fixes12.log,ef747348b33091e4d0003f1d547cee03d57c6a19d939a0b3903841d434e63115,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/d5aae253-3d03-4d53-b971-e92343657760.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R013,2026-07-10T07:37:29-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes13.log,d418f24db8085d6fa29ad8206f74748453a0f998905ac7a466c77c0f951a69a8,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/18b10719-d5c0-41e8-bb40-2740e497c4c4.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R014,2026-07-10T07:50:53-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,3,0,yes,$TMPDIR/ocr_review_after_fixes14.log,4a4730ec0bf896bd9654a6654bbcea2c0402592c3f5a4effa91bd06740f6b7f1,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/b53803a0-8303-4965-8d0e-d94b1c96e7e3.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R015,2026-07-10T08:02:59-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,2,0,yes,$TMPDIR/ocr_review_after_fixes15.log,8af9ee08c3bf00bbf0fda0ea4f5a19f7d2e97a9fa4a5801414f9aa8f6481b576,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/f446990c-aba1-4439-b3fa-1a5768db913a.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R016,2026-07-10T08:15:05-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,1,0,yes,$TMPDIR/ocr_review_after_fixes16.log,db3bca4ae96d91820770af3918a6c90b175ddb3921f941a8f81323266b7ac630,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/da43eea7-f9bc-4b83-a428-910084155790.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R017,2026-07-10T08:25:34-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,4,0,yes,$TMPDIR/ocr_review_after_fixes17.log,4519ef40a2d5959c2725f1f6e679921b203e417b85325b995edd3a2340a6955d,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/9d1f3bbb-aa77-4b5f-8183-16d09954ae9b.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R018,2026-07-10T08:38:53-0300,vybestack/llxprt-code,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,21,0,0,yes,$TMPDIR/ocr_review_after_fixes18.log,0499638b65cc0598e36bd0a072739570ab3eb48a9e33e1464771eb5d6ed4c55f,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-llxprt-branch-10-llxprt-code/cd58ef1b-a91f-4db3-ab22-976be4a71013.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
R019,2026-07-10T12:10:33-0300,vybestack/llxprt-jefe,local,unknown,unknown,unknown,not attributable from retained configuration,success,none,6,1,0,no/unknown,$TMPDIR/ocr_review_pr132.log,d5dd6a9fa53c1ae1d98475ba537d330166385a1da1a36752f43b5b7f93f18983,$HOME/.opencodereview/sessions/Volumes-XS1000-acoliver-projects-jefe-branch-4/5e1713e6-f9ab-4413-a15d-ce76c45eaccf.jsonl,Canonicalized by execution-output signature; companion JSON folded into this event.
